session_id,timestamp,source_ip,destination_service,connection_count,packets_per_second,failed_login_count,successful_login_count,login_frequency,port_scan_count,command_frequency,database_query_count,sensitive_file_access,privilege_escalation_attempt,lateral_movement_score,data_access_volume,session_duration,attacker_sophistication,attack_stage,asset_criticality,detection_confidence,attack_label
SESS-E61BE7D2,2026-09-05T23:58:42.185023Z,10.0.2.126,RDP:3389,44,10.16,2,1,1.02,0,13.0,3,6,3,0.136,28.81,601.8,0.86,S4,0.69,0.94,PRIVILEGE_ESCALATION
SESS-B353798F,2026-09-06T11:41:41.963254Z,68.46.182.198,RDP:3389,136,54.64,115,0,36.05,0,0.45,0,0,0,0.144,5.27,435.3,0.43,S2,0.48,0.95,BRUTE_FORCE
SESS-660BDFF3,2026-09-06T10:56:42.383205Z,10.0.2.79,HTTPS:443,172,195.62,0,1,0.2,0,18.46,97,69,0,0.237,1817.79,3595.1,0.54,S7,0.72,0.91,EXFILTRATION
SESS-235AF6CF,2026-09-06T11:20:41.675736Z,192.168.1.205,HTTPS:443,13,18.92,0,1,0.0,0,0.36,4,0,0,0.139,3.12,835.8,0.29,S0,0.37,0.01,NORMAL
SESS-BD4F8F8F,2026-09-05T22:12:41.774462Z,192.168.1.59,HTTPS:443,16,23.7,0,1,0.0,0,3.43,4,0,0,0.185,11.67,385.5,0.47,S0,0.33,0.08,NORMAL
SESS-28C9702B,2026-09-06T03:26:41.820585Z,192.168.1.153,DNS:53,11,7.11,0,2,0.0,0,0.51,6,0,0,0.21,9.19,587.3,0.25,S0,0.19,0.08,NORMAL
SESS-66120BC5,2026-09-05T14:58:42.207840Z,10.0.3.170,SSH:22,46,36.95,1,1,1.07,0,22.96,0,20,3,0.378,24.97,833.4,0.67,S4,0.73,0.93,PRIVILEGE_ESCALATION
SESS-BFE9D208,2026-09-05T22:52:42.343143Z,10.0.8.70,MySQL:3306,105,39.3,1,1,0.5,0,8.33,267,55,0,0.67,229.61,1244.7,0.79,S6,0.9,0.93,DATA_ACCESS
SESS-2D5D983F,2026-09-05T16:50:42.089794Z,10.0.7.157,MySQL:3306,90,72.44,0,1,0.0,0,5.47,215,8,0,0.414,46.77,1059.1,0.53,S6,0.8,0.91,DB_PROBE
SESS-18842EB0,2026-09-06T01:59:42.023422Z,213.87.124.174,API:8080,62,80.21,37,1,24.24,0,1.72,5,0,0,0.385,7.92,515.1,0.61,S3,0.63,0.89,CREDENTIAL_ATTACK
